UF;Tipo Crime;Ano;Mês;Ocorrências
Acre;Roubo de veículo;2019;7;91
Acre;Roubo seguido de morte (latrocínio);2019;7;1
Acre;Tentativa de homicídio;2019;7;5
Acre;Estupro;2019;8;30
Acre;Furto de veículo;2019;8;31
Acre;Homicídio doloso;2019;8;19
Acre;Lesão corporal seguida de morte;2019;8;1
Acre;Roubo a instituição financeira;2019;8;0
Acre;Roubo de carga;2019;8;1
Acre;Roubo de veículo;2019;8;116
Acre;Roubo seguido de morte (latrocínio);2019;8;1
Acre;Tentativa de homicídio;2019;8;13
Acre;Estupro;2019;9;22
Acre;Furto de veículo;2019;9;55
Acre;Homicídio doloso;2019;9;34
Acre;Lesão corporal seguida de morte;2019;9;0
Acre;Roubo a instituição financeira;2019;9;0
Acre;Roubo de carga;2019;9;0
Acre;Roubo de veículo;2019;9;123
Acre;Roubo seguido de morte (latrocínio);2019;9;1
Acre;Tentativa de homicídio;2019;9;13
Acre;Estupro;2019;10;33
Acre;Furto de veículo;2019;10;51
Acre;Homicídio doloso;2019;10;16
Acre;Lesão corporal seguida de morte;2019;10;0
Acre;Roubo a instituição financeira;2019;10;0
Acre;Roubo de carga;2019;10;0
Acre;Roubo de veículo;2019;10;128
Acre;Roubo seguido de morte (latrocínio);2019;10;0
Acre;Tentativa de homicídio;2019;10;11
Acre;Estupro;2019;11;29
Acre;Furto de veículo;2019;11;38
Acre;Homicídio doloso;2019;11;27
Acre;Lesão corporal seguida de morte;2019;11;0
Acre;Roubo a instituição financeira;2019;11;0
Acre;Roubo de carga;2019;11;0
Acre;Roubo de veículo;2019;11;124
Acre;Roubo seguido de morte (latrocínio);2019;11;3
Acre;Tentativa de homicídio;2019;11;12
Acre;Estupro;2019;12;18
Acre;Furto de veículo;2019;12;33
Acre;Homicídio doloso;2019;12;34
Acre;Lesão corporal seguida de morte;2019;12;0
Acre;Roubo a instituição financeira;2019;12;0
Acre;Roubo de carga;2019;12;1
Acre;Roubo de veículo;2019;12;91
Acre;Roubo seguido de morte (latrocínio);2019;12;0
Acre;Tentativa de homicídio;2019;12;17
Acre;Estupro;2020;1;18
Acre;Furto de veículo;2020;1;23
Acre;Homicídio doloso;2020;1;46
Acre;Lesão corporal seguida de morte;2020;1;0
Acre;Roubo a instituição financeira;2020;1;0
Acre;Roubo de carga;2020;1;0
Acre;Roubo de veículo;2020;1;102
Acre;Roubo seguido de morte (latrocínio);2020;1;1
Acre;Tentativa de homicídio;2020;1;16
Acre;Estupro;2020;2;20
Acre;Furto de veículo;2020;2;40
Acre;Homicídio doloso;2020;2;20
Acre;Lesão corporal seguida de morte;2020;2;0
Acre;Roubo a instituição financeira;2020;2;0
Acre;Roubo de carga;2020;2;64
Acre;Roubo de veículo;2020;2;0
Acre;Roubo seguido de morte (latrocínio);2020;2;0
Acre;Tentativa de homicídio;2020;2;7
Acre;Estupro;2020;3;32
Acre;Furto de veículo;2020;3;18
Acre;Homicídio doloso;2020;3;18
Acre;Lesão corporal seguida de morte;2020;3;0
Acre;Roubo a instituição financeira;2020;3;0
Acre;Roubo de carga;2020;3;0
Acre;Roubo de veículo;2020;3;93
Acre;Roubo seguido de morte (latrocínio);2020;3;0
Acre;Tentativa de homicídio;2020;3;17
