UF;Tipo Crime;Ano;Mês;Vítimas
Amazonas;Lesão corporal seguida de morte;2018;2;2
Amazonas;Lesão corporal seguida de morte;2018;3;5
Amazonas;Lesão corporal seguida de morte;2018;4;3
Amazonas;Lesão corporal seguida de morte;2018;5;4
Amazonas;Lesão corporal seguida de morte;2018;6;4
Amazonas;Lesão corporal seguida de morte;2018;7;1
Amazonas;Lesão corporal seguida de morte;2018;8;3
Amazonas;Lesão corporal seguida de morte;2018;9;2
Amazonas;Lesão corporal seguida de morte;2018;10;1
Amazonas;Lesão corporal seguida de morte;2018;11;2
Amazonas;Lesão corporal seguida de morte;2018;12;1
Amazonas;Lesão corporal seguida de morte;2019;1;1
Amazonas;Lesão corporal seguida de morte;2019;2;2
Amazonas;Lesão corporal seguida de morte;2019;3;2
Amazonas;Lesão corporal seguida de morte;2019;4;2
Amazonas;Lesão corporal seguida de morte;2019;5;4
Amazonas;Lesão corporal seguida de morte;2019;6;2
Amazonas;Lesão corporal seguida de morte;2019;7;2
Amazonas;Lesão corporal seguida de morte;2019;8;2
Amazonas;Lesão corporal seguida de morte;2019;9;1
Amazonas;Lesão corporal seguida de morte;2019;10;1
Amazonas;Lesão corporal seguida de morte;2019;11;2
Amazonas;Lesão corporal seguida de morte;2019;12;2
Amazonas;Lesão corporal seguida de morte;2020;2;2
Amazonas;Lesão corporal seguida de morte;2020;3;2
Amazonas;Roubo seguido de morte (latrocínio);2015;1;2
Amazonas;Roubo seguido de morte (latrocínio);2015;2;4
